,pert_id,pert_iname,pcl_id,pcl_name,pcl_type,pcl_source,pcl_criteria
85,CGS001-6201,RPS7,KD_RIBOSOMAL_40S_SUBUNIT,Ribosomal 40s Subunit LOF,LOF,Broad_moa,MoA
86,ccsbBroad304_02048,BCL10,OE_NFKB_ACTIVATION,NFKB Activation GOF,GOF,Broad_moa,MoA
87,ccsbBroad304_00259,CD40,OE_NFKB_ACTIVATION,NFKB Activation GOF,GOF,Broad_moa,MoA
88,ccsbBroad304_02012,FADD,OE_NFKB_ACTIVATION,NFKB Activation GOF,GOF,Broad_moa,MoA
89,ccsbBroad304_06542,LTBR,OE_NFKB_ACTIVATION,NFKB Activation GOF,GOF,Broad_moa,MoA
90,ccsbBroad304_07306,TNFRSF10A,OE_NFKB_ACTIVATION,NFKB Activation GOF,GOF,Broad_moa,MoA
91,ccsbBroad304_07304,TNFRSF10B,OE_NFKB_ACTIVATION,NFKB Activation GOF,GOF,Broad_moa,MoA
92,ccsbBroad304_01688,TNFRSF1A,OE_NFKB_ACTIVATION,NFKB Activation GOF,GOF,Broad_moa,MoA
93,BRD-K69840642,ISOX,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
94,BRD-K16485616,mocetinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
95,BRD-K52522949,NCH-51,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
96,BRD-K13169950,NSC-3852,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
97,CGS001-1314,COPA,KD_VESICULAR_TRANSPORT,Vesicular Transport LOF,LOF,Broad_moa,MoA
98,CGS001-9276,COPB2,KD_VESICULAR_TRANSPORT,Vesicular Transport LOF,LOF,Broad_moa,MoA
99,CGS001-22818,COPZ1,KD_VESICULAR_TRANSPORT,Vesicular Transport LOF,LOF,Broad_moa,MoA
100,BRD-K07888107,depudecin,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
101,BRD-K11558771,droxinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
102,BRD-K77908580,entinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
103,BRD-K13810148,givinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
104,BRD-A39646320,HC-toxin,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
105,BRD-K69840642,ISOX,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
106,BRD-K16485616,mocetinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
107,BRD-K52522949,NCH-51,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
108,BRD-K13169950,NSC-3852,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
109,BRD-K74733595,APHA-compound-8,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
110,BRD-K64606589,apicidin,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
111,BRD-K17743125,belinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
112,BRD-K56957086,dacinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
113,BRD-K07888107,depudecin,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
114,BRD-K11558771,droxinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
115,BRD-K77908580,entinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
116,BRD-K13810148,givinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
117,BRD-A39646320,HC-toxin,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
118,BRD-K69840642,ISOX,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
119,BRD-K16485616,mocetinostat,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
120,BRD-K52522949,NCH-51,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
121,BRD-K13169950,NSC-3852,CP_HDAC_INHIBITOR,HDAC inhibitor,CP,Broad_moa,MoA
122,BRD-K63606607,bufalin,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
123,BRD-A80502530,cinobufagin,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
124,BRD-A10420615,cyclopiazonic-acid,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
125,BRD-A71459254,cymarin,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
126,BRD-K18518344,digitoxigenin,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
127,BRD-A93236127,digitoxin,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
128,BRD-A94756469,digoxin,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
129,BRD-A29082194,gitoxigenin,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
130,BRD-A63998256,helveticoside,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
131,BRD-K74133369,oligomycin-a,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
132,BRD-K05350981,oligomycin-c,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
133,BRD-A68930007,ouabain,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
134,BRD-A34806832,proscillaridin,CP_ATPASE_INHIBITOR,ATPase inhibitor,CP,Broad_moa,MoA
135,BRD-K64890080,BI-2536,CP_BROMODOMAIN_INHIBITOR,Bromodomain Inhibitor,CP,Broad_moa,MoA
136,BRD-K27305650,LY-294002,CP_BROMODOMAIN_INHIBITOR,Bromodomain Inhibitor,CP,Broad_moa,MoA
137,BRD-K22385716,LY-303511,CP_BROMODOMAIN_INHIBITOR,Bromodomain Inhibitor,CP,Broad_moa,MoA
138,BRD-K54330070,SB-202190,CP_BROMODOMAIN_INHIBITOR,Bromodomain Inhibitor,CP,Broad_moa,MoA
139,BRD-K12502280,TG-101348,CP_BROMODOMAIN_INHIBITOR,Bromodomain Inhibitor,CP,Broad_moa,MoA
140,BRD-K50387473,XMD-892,CP_BROMODOMAIN_INHIBITOR,Bromodomain Inhibitor,CP,Broad_moa,MoA
141,ccsbBroad304_06753,POU5F1,OE_HOMEOBOX_GENE,Homeobox Gene GOF,GOF,Broad_moa,MoA
142,BRD-A62025033,temsirolimus,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
143,BRD-K40175214,torin-1,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
144,ccsbBroad304_06102,DLX3,OE_HOMEOBOX_GENE,Homeobox Gene GOF,GOF,Broad_moa,MoA
145,ccsbBroad304_00772,HOXA6,OE_HOMEOBOX_GENE,Homeobox Gene GOF,GOF,Broad_moa,MoA
146,ccsbBroad304_00773,HOXA9,OE_HOMEOBOX_GENE,Homeobox Gene GOF,GOF,Broad_moa,MoA
147,ccsbBroad304_00778,HOXC10,OE_HOMEOBOX_GENE,Homeobox Gene GOF,GOF,Broad_moa,MoA
148,ccsbBroad304_06393,HOXC4,OE_HOMEOBOX_GENE,Homeobox Gene GOF,GOF,Broad_moa,MoA
149,ccsbBroad304_06394,HOXC9,OE_HOMEOBOX_GENE,Homeobox Gene GOF,GOF,Broad_moa,MoA
150,ccsbBroad304_04496,LHX4,OE_HOMEOBOX_GENE,Homeobox Gene GOF,GOF,Broad_moa,MoA
151,ccsbBroad304_06753,POU5F1,OE_HOMEOBOX_GENE,Homeobox Gene GOF,GOF,Broad_moa,MoA
152,BRD-A62025033,temsirolimus,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
153,BRD-K40175214,torin-1,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
154,CGS001-5682,PSMA1,KD_PROTEASOME_PATHWAY,Proteasome Pathway LOF,LOF,Broad_moa,MoA
155,CGS001-5684,PSMA3,KD_PROTEASOME_PATHWAY,Proteasome Pathway LOF,LOF,Broad_moa,MoA
156,CGS001-5686,PSMA5,KD_PROTEASOME_PATHWAY,Proteasome Pathway LOF,LOF,Broad_moa,MoA
157,CGS001-5688,PSMA7,KD_PROTEASOME_PATHWAY,Proteasome Pathway LOF,LOF,Broad_moa,MoA
158,CGS001-5689,PSMB1,KD_PROTEASOME_PATHWAY,Proteasome Pathway LOF,LOF,Broad_moa,MoA
159,CGS001-5690,PSMB2,KD_PROTEASOME_PATHWAY,Proteasome Pathway LOF,LOF,Broad_moa,MoA
160,CGS001-5693,PSMB5,KD_PROTEASOME_PATHWAY,Proteasome Pathway LOF,LOF,Broad_moa,MoA
161,CGS001-5695,PSMB7,KD_PROTEASOME_PATHWAY,Proteasome Pathway LOF,LOF,Broad_moa,MoA
162,CGS001-5714,PSMD8,KD_PROTEASOME_PATHWAY,Proteasome Pathway LOF,LOF,Broad_moa,MoA
163,BRD-A62025033,temsirolimus,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
164,BRD-K40175214,torin-1,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
165,BRD-K99964838,bosutinib,CP_SRC_INHIBITOR,SRC inhibitor,CP,Broad_moa,MoA
166,BRD-K49328571,dasatinib,CP_SRC_INHIBITOR,SRC inhibitor,CP,Broad_moa,MoA
167,BRD-K47598052,PP-1,CP_SRC_INHIBITOR,SRC inhibitor,CP,Broad_moa,MoA
168,BRD-K95785537,PP-2,CP_SRC_INHIBITOR,SRC inhibitor,CP,Broad_moa,MoA
169,BRD-K19540840,saracatinib,CP_SRC_INHIBITOR,SRC inhibitor,CP,Broad_moa,MoA
170,BRD-U44618005,WH-4023,CP_SRC_INHIBITOR,SRC inhibitor,CP,Broad_moa,MoA
171,BRD-K41337261,ZM-306416,CP_SRC_INHIBITOR,SRC inhibitor,CP,Broad_moa,MoA
172,BRD-K67868012,PI-103,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
173,BRD-U33728988,QL-X-138,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
174,BRD-K89626439,sirolimus,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
175,BRD-A62025033,temsirolimus,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
176,BRD-K40175214,torin-1,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
177,BRD-K69932463,AZD-8055,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
178,BRD-K29733039,deforolimus,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
179,BRD-K06750613,GSK-1059615,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
180,BRD-K67566344,KU-0063794,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
181,BRD-K27305650,LY-294002,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
182,BRD-K09537769,NU-7026,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
183,BRD-K12184916,NVP-BEZ235,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
184,BRD-K94294671,OSI-027,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
185,BRD-K67868012,PI-103,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
186,BRD-U33728988,QL-X-138,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
187,BRD-K89626439,sirolimus,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
188,BRD-A62025033,temsirolimus,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
189,BRD-K40175214,torin-1,CP_MTOR_INHIBITOR,MTOR inhibitor,CP,Broad_moa,MoA
190,BRD-K91623615,ABT-751,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
191,BRD-K79131256,albendazole,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
192,BRD-K32828673,chelidonine,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
193,BRD-K26997899,D-64131,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
194,BRD-K63265447,docetaxel,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
195,BRD-K48935217,epothilone,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
196,BRD-K51318897,fenbendazole,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
197,BRD-K86003836,flubendazole,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
198,BRD-K09638361,IC-261,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
199,BRD-K77987382,mebendazole,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
200,BRD-K12539581,nocodazole,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
201,BRD-K52075715,oxibendazole,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
202,BRD-A28746609,paclitaxel,CP_TUBULIN_INHIBITOR,Tubulin inhibitor,CP,Broad_moa,MoA
203,BRD-K34581968,BMS-536924,CP_IGF_1_INHIBITOR,IGF-1 inhibitor,CP,Broad_moa,MoA
204,BRD-K13049116,BMS-754807,CP_IGF_1_INHIBITOR,IGF-1 inhibitor,CP,Broad_moa,MoA
205,BRD-K08589866,linsitinib,CP_IGF_1_INHIBITOR,IGF-1 inhibitor,CP,Broad_moa,MoA
206,BRD-K09499853,KU-0060648,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
207,BRD-K27305650,LY-294002,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
208,BRD-K09537769,NU-7026,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
209,BRD-K12184916,NVP-BEZ235,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
210,BRD-K67868012,PI-103,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
211,BRD-K97365803,PI-828,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
212,BRD-M16762496,PIK-75,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
213,BRD-K99818283,PIK-90,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
214,BRD-A41692738,TGX-221,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
215,BRD-K41895714,AS-605240,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
216,BRD-K58772419,AZD-6482,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
217,BRD-K52911425,GDC-0941,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
218,BRD-K06750613,GSK-1059615,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
219,BRD-K09499853,KU-0060648,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
220,BRD-K27305650,LY-294002,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
221,BRD-K09537769,NU-7026,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
222,BRD-K12184916,NVP-BEZ235,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
223,BRD-K67868012,PI-103,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
224,BRD-K97365803,PI-828,CP_PI3K_INHIBITOR,PI3K inhibitor,CP,Broad_moa,MoA
